Handle,Vendor,Type,Concern tags,Title (FR),Title (EN)
mixsoon-toner-hydratant-au-soja-fermente,Mixsoon,Toniques & Essences,"besoin-eclat, besoin-secheresse, besoin-sensible",Toner Hydratant au soja fermenté,Fermented Bean Hydrating Toner
mixsoon-pads-hydratants-au-soja-fermente,Mixsoon,Nettoyants & Démaquillants,"besoin-secheresse, besoin-sensible",Pads Hydratants au soja fermenté,Fermented Bean Hydrating Pads
mixsoon-serum-hydratant-a-l-acide-hyaluronique,Mixsoon,Sérums & Ampoules,"besoin-secheresse, besoin-sensible",Sérum hydratant à l’acide hyaluronique,Glacier Water Hyaluronic Acid Serum
tocobo-masque-levres,Tocobo,Masques & Patchs,besoin-secheresse,Masque lèvres,Vita Glazed Lip Mask
soin-teinte-cicathione-glow-cushion-zisu-c,ZISU’C,Maquillage,"besoin-eclat, besoin-secheresse, besoin-sensible",Soin Teinté Cicathione Glow Cushion,Cicathione Glow Cushion
masque-hydrogel-deux-etapes-68-zisu-c,ZISU’C,Masques & Patchs,"besoin-eclat, besoin-age, besoin-secheresse",Pack de 3 masques Hydrogel Deux étapes 68,Two-Step 68 Hydrogel Mask — pack of 3
kit-voyage-zisu-c,ZISU’C,Crèmes & Baumes,"besoin-eclat, besoin-age, besoin-secheresse",Kit Voyage,Travel Kit
huile-nettoyante-naturelle-urang,Urang,Nettoyants & Démaquillants,besoin-rougeurs,Huile Nettoyante Naturelle,Natural Cleansing Oil
nettoyant-mousse-urang,Urang,Nettoyants & Démaquillants,besoin-eclat,Nettoyant Mousse,Creamy Bubble Foam Cleanser
toner-hydratant-urang,Urang,Toniques & Essences,"besoin-eclat, besoin-secheresse, besoin-sensible",Toner Hydratant,Perfect Daily Mist
toner-a-l-eau-de-rose-de-bulgarie-urang,Urang,Toniques & Essences,"besoin-secheresse, besoin-sensible",Toner à l’Eau De Rose De Bulgarie,Bulgarian Rose Water Toner
tonique-essence-hydratant-et-nourissant-urang,Urang,Toniques & Essences,"besoin-secheresse, besoin-sensible",Tonique & Essence Hydratant et Nourissant,Prestige Purple Shield Essence Toner
masque-bleu-clarifiant-urang,Urang,Masques & Patchs,"besoin-eclat, besoin-sensible, besoin-rougeurs",Masque Bleu Clarifiant,Clarifying Blue Mask
essence-reparactrice-a-la-rose-urang,Urang,Toniques & Essences,"besoin-eclat, besoin-secheresse, besoin-sensible",Essence Réparactrice à la Rose,True Rose Repair Essence
serum-huile-eclat-urang,Urang,Sérums & Ampoules,"besoin-eclat, besoin-sensible",Sérum Bleu Huile Éclat,Brightening Blue Oil Serum
serum-huile-eclat-urang-1,Urang,Sérums & Ampoules,besoin-eclat,Sérum Huile Éclat,Glow Oil Serum
serum-huile-aux-vitamines-urang,Urang,Sérums & Ampoules,"besoin-eclat, besoin-age",Sérum Huile aux Vitamines,Vitamin Oil Serum
ampoule-a-la-rose-100-naturelle-urang,Urang,Sérums & Ampoules,"besoin-age, besoin-secheresse, besoin-sensible",Ampoule à la Rose 100% Naturelle,100% Natural Rose Ampoule
ampoule-apaisante-au-cica-urang,Urang,Sérums & Ampoules,"besoin-sensible, besoin-rougeurs",Ampoule Apaisante au Cica,Cica Soothing Ampoule
creme-a-la-rose-et-aux-ceramides,Urang,Crèmes & Baumes,"besoin-secheresse, besoin-sensible",Crème à la Rose et aux Céramides,Rose & Ceramide Cream
baume-sos-multifonctions-urang,Urang,Crèmes & Baumes,"besoin-secheresse, besoin-sensible",Baume SOS Multifonctions,SOS Multi-Balm
creme-anti-age-aux-capsules-de-pdrn-vt-cosmetics,VT Cosmetics,Crèmes & Baumes,"besoin-eclat, besoin-age, besoin-sensible",Crème Anti-Âge aux capsules de PDRN,PDRN Capsule Anti-Ageing Cream
ampoule-anti-age-au-complexe-r5-vt-cosmetics,VT Cosmetics,Sérums & Ampoules,"besoin-age, besoin-secheresse, besoin-sensible",Ampoule Anti-Âge au complexe R5,R5 Firming Anti-Ageing Ampoule
